ID,Class,category,x1,x2
PTC3236,13,Polyimides,-2.845164,7.0561028
PTC1805,3,Polyvinyls,6.696911,8.7170725
PTC3678,17,Polyketones,5.9760547,9.42193
PTC0800,9,Polyesters,5.687292,20.642622
PTC2934,12,Polyureas,6.3804584,10.60268
PTC2682,9,Polyesters,-0.7241944,12.932065
PTC0865,11,Polyurethanes,6.846388,16.338467
PTC0346,4,Polyacrylics,3.225208,12.2617035
PTC0391,6,Polydienes,6.3169894,9.587317
PTC4421,7,Polyethers,8.328584,3.6286829
PTC0793,9,Polyesters,3.5187151,19.893274
PTC1197,10,Polyamides,23.420885,0.3085964
PTC1331,10,Polyamides,23.472197,0.37158546
PTC0549,9,Polyesters,-0.24954934,24.4351
PTC3865,17,Polyketones,6.9089117,10.565681
PTC4318,9,Polyesters,12.376862,11.901567
PTC0867,9,Polyesters,3.055018,1.4997127
PTC2347,7,Polyethers,8.50637,10.088718
PTC1451,11,Polyurethanes,6.8219895,16.190365
PTC2808,9,Polyesters,8.867725,16.61492
PTC0095,7,Polyethers,13.923246,0.89595276
PTC4332,9,Polyesters,2.462599,-9.991411
PTC4519,13,Polyimides,4.9961243,8.809124
PTC3089,10,Polyamides,-3.1954422,17.313585
PTC1372,11,Polyurethanes,13.908951,16.169878
PTC1928,5,Polyhalo-olefins,4.966691,10.23819
PTC3106,11,Polyurethanes,-4.814206,11.386327
PTC1715,18,Polysulfones,9.053571,-0.21964695
PTC0112,9,Polyesters,-5.6395435,0.9274038
PTC2110,7,Polyethers,5.635978,11.513683
PTC0143,2,Polystyrenes,3.2691703,10.4805355
PTC0496,10,Polyamides,22.769304,13.497107
PTC0608,17,Polyketones,8.244221,2.005196
PTC2901,10,Polyamides,6.7553573,10.240249
PTC1399,11,Polyurethanes,14.056041,16.250645
PTC1543,13,Polyimides,-0.5318822,4.7665524
PTC1588,14,Polyanhydrides,2.6874483,21.222055
PTC1730,19,Polyphenylenes,7.1563683,6.4046836
PTC1763,1,Polyolefins,5.6454587,8.806428
PTC1185,10,Polyamides,23.524916,0.41971728
PTC4074,7,Polyethers,7.034105,9.554165
PTC0965,9,Polyesters,15.574784,15.779627
PTC3810,7,Polyethers,7.6832166,4.4230146
PTC1830,3,Polyvinyls,5.9293594,9.7737665
PTC1418,11,Polyurethanes,12.765736,-6.7464023
PTC2846,9,Polyesters,-4.768557,-0.6563237
PTC2988,10,Polyamides,-6.4961405,-2.1722937
PTC0713,8,Polysulfides,5.1211843,10.354053
PTC0728,8,Polysulfides,0.8651808,20.187094
PTC2404,8,Polysulfides,8.907145,14.06155
PTC3155,13,Polyimides,0.33601922,3.4843686
PTC3677,17,Polyketones,5.969237,9.424423
PTC1312,10,Polyamides,5.920203,8.782836
PTC1681,16,Polyimines,11.925585,20.155401
PTC1171,10,Polyamides,-7.490556,6.0549173
PTC0126,7,Polyethers,10.105647,19.139032
PTC3180,13,Polyimides,-3.2847908,7.624996
PTC1271,10,Polyamides,6.7557693,12.235046
PTC0476,9,Polyesters,-0.43583557,10.662508
PTC1118,10,Polyamides,13.017572,-1.1457334
PTC1062,9,Polyesters,-4.2428646,3.610221
PTC1472,12,Polyureas,16.028008,-2.754988
PTC3698,19,Polyphenylenes,7.235012,6.354659
PTC3741,19,Polyphenylenes,8.124021,5.985814
PTC0084,5,Polyhalo-olefins,7.018083,9.595965
PTC0397,4,Polyacrylics,2.6499057,12.806687
PTC0811,9,Polyesters,12.338304,3.5888848
PTC0313,4,Polyacrylics,2.3655348,13.098832
PTC2503,8,Polysulfides,18.027565,12.672447
PTC0885,9,Polyesters,3.1380615,1.5435736
PTC0573,7,Polyethers,5.7310686,8.881613
PTC0740,11,Polyurethanes,19.033607,13.603687
PTC4422,18,Polysulfones,8.410563,3.3925848
PTC0458,7,Polyethers,-6.372565,1.2078861
PTC0662,7,Polyethers,16.366808,2.2762582
PTC1024,9,Polyesters,3.0571942,1.625277
PTC2045,11,Polyurethanes,13.504389,16.360952
PTC3931,7,Polyethers,6.3717766,9.324742
PTC3674,17,Polyketones,3.7273462,10.389693
PTC0658,9,Polyesters,11.265198,11.5756645
PTC4223,11,Polyurethanes,6.930338,10.702896
PTC0933,9,Polyesters,11.740311,11.594143
PTC0745,11,Polyurethanes,19.024279,13.596944
PTC1876,4,Polyacrylics,3.1269479,12.205221
PTC2455,18,Polysulfones,6.935871,3.9816682
PTC0038,1,Polyolefins,4.7408614,10.630659
PTC0578,7,Polyethers,7.490852,4.741264
PTC1059,9,Polyesters,3.4440584,6.6677027
PTC0620,9,Polyesters,-0.27208114,24.456936
PTC1761,1,Polyolefins,5.759081,9.331576
PTC1999,7,Polyethers,-1.9355559,15.771856
PTC0626,9,Polyesters,-0.27083296,24.456219
PTC1255,10,Polyamides,6.708685,12.819085
PTC2746,9,Polyesters,11.48437,7.267011
PTC3499,16,Polyimines,7.2196975,6.632823
PTC2733,9,Polyesters,10.901056,11.666527
PTC2965,10,Polyamides,7.2815995,10.9291
PTC3651,16,Polyimines,0.7427571,9.343004
PTC2653,9,Polyesters,18.38374,8.547744
PTC1183,10,Polyamides,23.343636,0.32965016
PTC2860,10,Polyamides,15.911248,-2.6410823
PTC1943,6,Polydienes,5.958421,8.8760605
PTC4394,11,Polyurethanes,-6.4366403,3.7337883
PTC0067,6,Polydienes,6.1188173,9.32454
PTC0840,9,Polyesters,10.552932,13.743737
PTC3288,13,Polyimides,-2.2439897,8.915115
PTC1069,9,Polyesters,10.4923725,9.613096
